Date,Close,Open,High,Low,Vol.,Change %
"Mar 27, 2023",0.5779,0.5907,0.5926,0.5726,15.72M,-2.16%
"Mar 26, 2023",0.5907,0.5789,0.5959,0.5771,12.31M,2.01%
"Mar 25, 2023",0.5791,0.5864,0.5963,0.5717,11.17M,-1.25%
"Mar 24, 2023",0.5864,0.6135,0.6156,0.5763,18.88M,-4.42%
"Mar 23, 2023",0.6135,0.5802,0.6196,0.5717,25.64M,5.75%
"Mar 22, 2023",0.5802,0.6174,0.6199,0.5699,35.97M,-6.02%
"Mar 21, 2023",0.6173,0.597,0.6212,0.5806,26.14M,3.41%
"Mar 20, 2023",0.5969,0.6329,0.6495,0.5911,31.37M,-5.68%
"Mar 19, 2023",0.6329,0.6221,0.6628,0.622,29.28M,1.81%
"Mar 18, 2023",0.6216,0.6446,0.6782,0.6182,47.93M,-3.58%
"Mar 17, 2023",0.6447,0.5727,0.65,0.5632,36.12M,12.57%
"Mar 16, 2023",0.5727,0.5561,0.5755,0.5473,22.94M,2.98%
"Mar 15, 2023",0.5561,0.6108,0.6221,0.5421,38.18M,-8.96%
"Mar 14, 2023",0.6109,0.5952,0.645,0.5772,43.77M,2.63%
"Mar 13, 2023",0.5952,0.5684,0.6033,0.5462,37.16M,4.74%
"Mar 12, 2023",0.5683,0.5185,0.5685,0.5069,24.23M,9.59%
"Mar 11, 2023",0.5185,0.5268,0.548,0.4961,33.33M,-1.58%
"Mar 10, 2023",0.5268,0.517,0.5299,0.4845,33.55M,1.90%
"Mar 09, 2023",0.517,0.5473,0.5648,0.5054,27.47M,-5.53%
"Mar 08, 2023",0.5473,0.5903,0.5931,0.54,20.46M,-7.28%
"Mar 07, 2023",0.5903,0.6101,0.6195,0.5724,25.61M,-3.24%
"Mar 06, 2023",0.6101,0.5767,0.623,0.5639,38.99M,5.78%
"Mar 05, 2023",0.5767,0.5779,0.5933,0.5725,11.72M,-0.21%
"Mar 04, 2023",0.5779,0.6019,0.6134,0.5628,17.30M,-3.99%
"Mar 03, 2023",0.6019,0.6382,0.6388,0.5762,25.85M,-5.69%
"Mar 02, 2023",0.6382,0.6575,0.6606,0.6241,12.58M,-2.94%
"Mar 01, 2023",0.6575,0.6263,0.661,0.6217,15.67M,4.99%
"Feb 28, 2023",0.6263,0.6538,0.6593,0.6207,17.67M,-4.21%
"Feb 27, 2023",0.6538,0.6638,0.6732,0.6367,18.58M,-1.50%
"Feb 26, 2023",0.6638,0.6492,0.6688,0.6424,11.72M,2.25%
"Feb 25, 2023",0.6492,0.6688,0.6706,0.6229,21.26M,-2.93%
"Feb 24, 2023",0.6688,0.7023,0.7049,0.6506,24.14M,-4.76%
"Feb 23, 2023",0.7023,0.7013,0.7164,0.6841,23.31M,0.14%
"Feb 22, 2023",0.7013,0.7051,0.7076,0.6723,26.02M,-0.49%
"Feb 21, 2023",0.7047,0.7431,0.748,0.6922,35.87M,-5.16%
"Feb 20, 2023",0.7431,0.7184,0.7598,0.6917,47.83M,3.39%
"Feb 19, 2023",0.7187,0.7141,0.755,0.7017,33.54M,0.64%
"Feb 18, 2023",0.7141,0.7158,0.7355,0.7079,20.63M,-0.25%
"Feb 17, 2023",0.7159,0.6798,0.7297,0.6761,38.05M,5.31%
"Feb 16, 2023",0.6798,0.7302,0.7488,0.6745,56.32M,-6.91%
"Feb 15, 2023",0.7303,0.6761,0.7321,0.6588,34.96M,8.04%
"Feb 14, 2023",0.676,0.6443,0.6838,0.6277,37.26M,4.93%
